"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30328","searches for vehicle second fail","chromium","Wed Oct 08 06:25:53 UTC 2025","broken","Wed Oct 08 06:26:24 UTC 2025","","","",""
"","9242","searches for vehicle","chromium","Wed Oct 08 06:24:40 UTC 2025","passed","Wed Oct 08 06:24:49 UTC 2025","","","",""
